G310 	CQ	BJ	09:30	21:42	924  
D2272	CQ	HF	08:28	17:00	403  
D2218	CQ	HF	08:37	17:11	403  
D2248	CQ	HF	08:49	17:16	403  
D638 	CQ	HF	09:38	18:34	403  
D2224	CQ	HF	09:58	18:58	403  
D2208	CQ	HF	10:39	19:08	403  
D2256	CQ	HF	10:50	19:50	403  
D2264	CQ	HF	11:08	19:57	403  
G1836	CQ	JN	08:01	20:05	929  
G1832	CQ	JN	10:13	23:07	929  
D958 	CQ	NJ	07:59	16:32	413  
D2272	CQ	NJ	08:28	18:01	413  
D2218	CQ	NJ	08:37	18:19	413  
D2248	CQ	NJ	08:49	18:24	413  
D638 	CQ	NJ	09:38	19:57	413  
D2224	CQ	NJ	09:58	20:04	413  
D2208	CQ	NJ	10:39	20:15	413  
D2256	CQ	NJ	10:50	21:06	413  
D2264	CQ	NJ	11:08	20:58	413  
G1976	CQ	NJ	09:12	20:55	413  
D958 	CQ	SH	07:59	18:25	585  
D954 	CQ	SH	10:05	20:28	585  
D2218	CQ	SH	08:37	20:29	585  
D638 	CQ	SH	09:38	22:14	585  
D354 	CQ	SH	10:23	22:19	585  
D2208	CQ	SH	10:39	22:24	585  
G1335	CQ	SH	08:48	20:56	585  
G1976	CQ	SH	09:12	22:25	585  
D958 	CQ	SZ	07:59	17:52	554  
D2218	CQ	SZ	08:37	19:50	554  
D638 	CQ	SZ	09:38	21:38	554  
D954 	CQ	SZ	10:05	19:55	554  
D354 	CQ	SZ	10:23	21:43	554  
D2208	CQ	SZ	10:39	21:48	554  
G1976	CQ	SZ	09:12	22:00	554  
D2278	CQ	WH	13:22	20:42	265  
D1977	CQ	XA	14:16	19:26	409  
D1985	CQ	XA	18:04	22:53	409  
D1953	CQ	XA	07:48	13:12	409  
G1836	CQ	XA	08:01	13:33	409  
G574 	CQ	XA	08:15	13:51	409  
D1965	CQ	XA	08:39	13:41	409  
D1969	CQ	XA	09:05	14:10	409  
G1976	CQ	XA	09:12	14:49	409  
D1957	CQ	XA	10:07	15:18	409  
G1832	CQ	XA	10:13	16:43	409  
G2216	CQ	XA	11:04	16:57	409  
D1961	CQ	XA	12:15	17:46	409  
G2851	CQ	XA	16:40	22:05	409  
G1836	CQ	XZ	08:01	18:19	658  
G1976	CQ	XZ	09:12	19:11	658  
G1832	CQ	XZ	10:13	21:21	658  
G310 	CQ	ZZ	09:30	18:19	648  
G1836	CQ	ZZ	08:01	15:56	648  
G574 	CQ	ZZ	08:15	16:21	648  
G1976	CQ	ZZ	09:12	17:17	648  
G1832	CQ	ZZ	10:13	19:17	648  
G1710	CQ	ZZ	10:49	19:07	648  
G2216	CQ	ZZ	11:04	19:23	648  
